system:index,DistanceToLine,NDVI,ProximityFactor,RiskLabel,RiskScore,Vegetation,VegetationFactor,latitude,longitude,.geo,predicted_risk_probability,predicted_priority
561,610.0,0.4162320050073023,0.7371233743916278,1,0.3944767826200531,1,0.1660457214390033,25.97447202996652,80.34886735702227,"{""type"":""MultiPoint"",""coordinates"":[]}",3.490723968580589e-06,Low
562,1469.8639392814562,0.3638914873713751,0.4795380810131729,0,0.2465793644378764,1,0.0912735533876787,26.03888123583789,79.99241585228364,"{""type"":""MultiPoint"",""coordinates"":[]}",1.302963464070352e-13,Low
563,3104.1262860908223,0.4767485822306238,0.2118105273081791,0,0.2362229956923778,1,0.2524979746151769,26.046516915752907,80.02457553945513,"{""type"":""MultiPoint"",""coordinates"":[]}",4.286037061309323e-16,Low
565,3383.548433228051,0.3277830637488106,0.1841924366356223,0,0.0974910292960866,1,0.0396900910697295,25.953361620789718,80.3106889574472,"{""type"":""MultiPoint"",""coordinates"":[]}",7.220226781282482e-25,Low
567,541.2023651093923,0.4737999376012123,0.7629207018250903,1,0.4541396558167896,1,0.248285625144589,26.019747120286144,80.09185935423568,"{""type"":""MultiPoint"",""coordinates"":[]}",0.00012952830430684926,Low
568,1731.1845655504212,0.5992767967081781,0.4208022448828538,1,0.4248438665601514,1,0.427538281011683,26.0111232935586,80.07991176095689,"{""type"":""MultiPoint"",""coordinates"":[]}",7.502690469447292e-06,Low
569,384.70768123342685,0.5426322693484915,0.8250148930597873,1,0.5379764738083362,1,0.3466175276407022,26.018489478888377,80.160400810414,"{""type"":""MultiPoint"",""coordinates"":[]}",0.019670340723666836,Low
570,588.5575587824865,0.4322844907838391,0.7450687526746853,1,0.411414207456022,1,0.188977843976913,26.02145391932597,79.98019876441963,"{""type"":""MultiPoint"",""coordinates"":[]}",9.862067023877327e-06,Low
571,1461.6771189288008,0.417094407846886,0.4815050501330899,0,0.2929686553505669,1,0.1672777254955514,26.00977582063242,80.04200285596704,"{""type"":""MultiPoint"",""coordinates"":[]}",7.865057162521042e-11,Low
573,1063.6728820459791,0.4683426443202979,0.5875250232981313,1,0.3793037044509365,1,0.2404894918861399,26.0171420059622,80.15177698368645,"{""type"":""MultiPoint"",""coordinates"":[]}",1.0150379850011755e-06,Low
574,1833.575741549828,0.4733994589720469,0.3998011938609237,0,0.3085485852346954,1,0.2477135128172098,26.039869382650423,80.09985436026435,"{""type"":""MultiPoint"",""coordinates"":[]}",3.455120778686429e-10,Low
575,2136.7732682715778,0.4235505742355057,0.3435623623089278,0,0.2433254371254332,1,0.1765008203364368,26.041216855576604,80.12455803057763,"{""type"":""MultiPoint"",""coordinates"":[]}",2.2383343726928684e-14,Low
577,2575.9658382827984,0.4431764146457442,0.2758265868794013,0,0.2330532758766841,1,0.204537735208206,25.96638719240945,80.301705804606,"{""type"":""MultiPoint"",""coordinates"":[]}",1.597022672521087e-15,Low
578,1207.0211265756702,0.5368291890721426,0.5468883759508403,1,0.4217517981564583,1,0.3383274129602037,26.03313201801953,80.10192048541782,"{""type"":""MultiPoint"",""coordinates"":[]}",1.183872587444197e-05,Low
580,1198.2069938036582,0.475442533034156,0.5493038680368599,1,0.3701008612440206,1,0.2506321900487944,26.03681511068441,79.98855309656193,"{""type"":""MultiPoint"",""coordinates"":[]}",4.885431935261571e-07,Low
581,101.9803902718557,0.3769093937939407,0.9502879879313,1,0.4460375327101835,1,0.1098705625627724,26.02226240308168,80.05556741675726,"{""type"":""MultiPoint"",""coordinates"":[]}",8.084954792584997e-05,Low
582,1836.98121928342,0.4634996731314011,0.3991210160760584,0,0.2997909834001958,1,0.2335709616162874,25.97519068219382,80.38542878908594,"{""type"":""MultiPoint"",""coordinates"":[]}",1.0519785170911766e-10,Low
583,1621.141573089778,0.4369807737953952,0.4446042196773439,0,0.295253779695562,1,0.1956868197077074,26.037174436798065,80.16588053364713,"{""type"":""MultiPoint"",""coordinates"":[]}",8.442940340471756e-11,Low
584,1639.5426191471815,0.52981220657277,0.4405323885268864,1,0.3731948467588431,1,0.3283031522468143,26.01031480980289,80.14135652639067,"{""type"":""MultiPoint"",""coordinates"":[]}",3.553901314378598e-07,Low
586,526.1178575186362,0.3467147023503173,0.7686965976396557,0,0.3475198124989915,1,0.0667352890718819,26.03178454509335,80.08045075012735,"{""type"":""MultiPoint"",""coordinates"":[]}",1.0437706827161249e-07,Low
587,114.0175425099138,0.4151970389723492,0.9445857841274462,1,0.476574632770135,1,0.1645671985319274,25.96503971948327,80.36207259169883,"{""type"":""MultiPoint"",""coordinates"":[]}",0.0005029232052518204,Low
589,1812.2085972646744,0.5536349771225216,0.404095396626257,1,0.3790395676126642,1,0.3623356816036023,26.039150730423128,80.10165099083258,"{""type"":""MultiPoint"",""coordinates"":[]}",4.0635652873314783e-07,Low
591,220.9072203437452,0.6594626865671642,0.8954278679709089,2,0.6662820213887901,1,0.5135181236673775,25.969261801318627,80.35677253152252,"{""type"":""MultiPoint"",""coordinates"":[]}",0.9771739786809955,High
592,1344.0610105199837,0.2612137203166227,0.5106706049890024,0,0.2042682419956009,0,0.0,26.025226843519278,80.2724207263437,"{""type"":""MultiPoint"",""coordinates"":[]}",2.838197738480916e-16,Low
593,1950.0,0.32983468905799,0.3771923535631569,0,0.1764495320463971,1,0.0426209843685571,26.005643570325468,80.02574334932449,"{""type"":""MultiPoint"",""coordinates"":[]}",3.3695213635910528e-18,Low
595,3390.294972417592,0.3860607384749836,0.1835721526702344,0,0.1471952083323655,1,0.1229439121071194,25.95084633799418,80.31455171316891,"{""type"":""MultiPoint"",""coordinates"":[]}",6.768778824242075e-22,Low
596,770.0,0.5745126115210927,0.6804506362045877,1,0.5074767786427716,1,0.392160873601561,26.014357228581428,80.18833841575011,"{""type"":""MultiPoint"",""coordinates"":[]}",0.002817022614979552,Low
597,1145.294721894762,0.3528807397455148,0.5640302687388992,0,0.2709384558488582,1,0.0755439139221641,26.01669284832014,79.97741398703886,"{""type"":""MultiPoint"",""coordinates"":[]}",5.282290423320825e-12,Low
598,1336.3382805263043,0.4186657624819869,0.5126463025779525,0,0.306772031730027,1,0.1695225178314099,26.037803257496947,79.99115821088589,"{""type"":""MultiPoint"",""coordinates"":[]}",5.960104301115318e-10,Low
599,1990.0,0.4302678120262759,0.369723444544059,0,0.2595475024115743,1,0.1860968743232513,26.041037192519777,80.02771964294955,"{""type"":""MultiPoint"",""coordinates"":[]}",2.9874462553029405e-13,Low
601,1180.0,0.513722957701001,0.5543272847345071,1,0.4049220204946608,1,0.30531851100143,26.03385067024682,80.02161109901753,"{""type"":""MultiPoint"",""coordinates"":[]}",4.42555654076167e-06,Low
603,1002.2474744293448,0.3169573988370713,0.6058494614540754,0,0.2568746978705484,1,0.0242248554815304,26.03385067024682,80.13740393914054,"{""type"":""MultiPoint"",""coordinates"":[]}",8.167912497475535e-13,Low
604,2346.44411823508,0.4668183541903678,0.3093685299664762,0,0.2667345727211915,1,0.2383119345576683,26.03672527915601,80.26613251935487,"{""type"":""MultiPoint"",""coordinates"":[]}",3.2690670385246095e-13,Low
609,2790.627169652012,0.5205880028451751,0.247755331871753,0,0.2881775637588514,1,0.3151257183502503,25.988755242984023,80.26514437254234,"{""type"":""MultiPoint"",""coordinates"":[]}",1.6396878789032874e-12,Low
611,2068.7435800504613,0.435229609321453,0.35544960779008,0,0.2580909368201346,1,0.1931851561735043,26.046427084224497,79.97085628546478,"{""type"":""MultiPoint"",""coordinates"":[]}",2.0324817023182252e-13,Low
612,14.142135623730953,0.4049266052028634,0.9929538733665888,1,0.4871186395205185,1,0.1498951502898048,26.02675397950228,80.08242704375242,"{""type"":""MultiPoint"",""coordinates"":[]}",0.0009123178400680672,Low
613,2411.32743525221,0.4240969941904521,0.2994931546464878,0,0.2261661140218398,1,0.1772814202720745,25.93153255938561,80.41264774219476,"{""type"":""MultiPoint"",""coordinates"":[]}",1.0022730623818032e-15,Low
614,1596.151621870554,0.4059789718494113,0.4501943903512669,0,0.2709168748685736,1,0.1513985312134448,26.04507961129832,79.9409423865036,"{""type"":""MultiPoint"",""coordinates"":[]}",3.104451414887297e-12,Low
615,1970.8373854785689,0.2517725924970994,0.373282903371833,0,0.1493131613487332,0,0.0,25.93350885301067,80.40914431258669,"{""type"":""MultiPoint"",""coordinates"":[]}",3.4320362785084636e-20,Low
619,3214.0317359976398,0.4221248630887185,0.2004849959908823,0,0.1848724524723973,1,0.1744640901267407,26.017950489717908,80.32164840391346,"{""type"":""MultiPoint"",""coordinates"":[]}",2.3852822955706364e-19,Low
622,1891.0843450253612,-0.3374844333748443,0.3884688966382276,0,0.155387558655291,0,0.0,26.03600662692871,80.11063414367378,"{""type"":""MultiPoint"",""coordinates"":[]}",3.110131360427627e-29,Low
623,2462.72207120495,0.3688978359335682,0.2918950276775197,0,0.1758132990140663,1,0.0984254799050974,26.00187064613217,80.00678889682956,"{""type"":""MultiPoint"",""coordinates"":[]}",8.215142292842101e-19,Low
624,1964.713719603953,0.3985882352941176,0.3744275847776612,0,0.2342752355917367,1,0.1408403361344538,26.008608010763066,79.98433101472658,"{""type"":""MultiPoint"",""coordinates"":[]}",9.633297014617793e-15,Low
625,2500.019999920001,0.4370189743198964,0.2865019318380066,0,0.2320456078665424,1,0.1957413918855663,26.0457084319972,80.0243958763983,"{""type"":""MultiPoint"",""coordinates"":[]}",1.7453717364794641e-15,Low
627,372.155881318568,0.4416407367871175,0.830208885432339,1,0.4534898999904649,1,0.2023439096958822,26.029269262297813,80.07308456479758,"{""type"":""MultiPoint"",""coordinates"":[]}",0.00012916408961810666,Low
628,335.4101966249684,0.4309775805166723,0.8456031677196146,1,0.450507764673565,1,0.1871108293095319,25.969082138261804,80.36279124392613,"{""type"":""MultiPoint"",""coordinates"":[]}",0.00010839440382032365,Low
629,2522.399651125888,0.4527729636048526,0.2833138952376394,0,0.2442738126135009,1,0.2182470908640752,26.045977926582434,80.12949876464029,"{""type"":""MultiPoint"",""coordinates"":[]}",8.847935505940052e-15,Low
632,2670.8238429368566,0.3991532599491956,0.2630497972771476,0,0.190208427438741,1,0.1416475142131366,26.00070283626281,80.20289112335286,"{""type"":""MultiPoint"",""coordinates"":[]}",3.193407778772838e-18,Low
633,1406.1649974309555,0.4441375076734192,0.4950569370348151,0,0.3215692099625711,1,0.2059107252477418,26.035377806229825,80.12833095477093,"{""type"":""MultiPoint"",""coordinates"":[]}",3.782815792660626e-09,Low
634,863.1338250816034,0.3950285522337924,0.6494906020177704,0,0.3412492855789302,1,0.1357550746197034,26.029269262297813,80.17010261548249,"{""type"":""MultiPoint"",""coordinates"":[]}",5.551194222232359e-08,Low
637,892.6925562588724,0.5056713268266948,0.639962128799884,1,0.4322745602285491,1,0.2938161811809926,26.021004761683912,80.20873017269963,"{""type"":""MultiPoint"",""coordinates"":[]}",2.917972058481562e-05,Low
638,2330.772404161333,0.4563855421686747,0.3118022201105202,0,0.2587656384745007,1,0.223407917383821,26.04660674728132,80.09033221825267,"{""type"":""MultiPoint"",""coordinates"":[]}",1.13565497592442e-13,Low
641,1940.3092537015848,0.4620706396407331,0.3790244262186305,0,0.2905274616080806,1,0.2315294852010473,26.00537407574023,80.13246320507788,"{""type"":""MultiPoint"",""coordinates"":[]}",2.3861368357418723e-11,Low
643,3303.876511009453,0.4755900702412635,0.1916780273450772,0,0.2271769854305425,1,0.2508429574875194,26.00797919006418,79.92315574387803,"{""type"":""MultiPoint"",""coordinates"":[]}",5.918110111647748e-17,Low
644,2131.3845265460664,0.420208009788696,0.3444892949168118,0,0.2408311549284641,1,0.1717257282695657,26.044989779769903,79.99106837935747,"{""type"":""MultiPoint"",""coordinates"":[]}",1.6072077504861213e-14,Low
648,1321.854757528224,0.42575520380356,0.5163722397253812,0,0.3143390705789182,1,0.1796502911479429,26.03636595304236,80.1356073085723,"{""type"":""MultiPoint"",""coordinates"":[]}",1.6489615820518642e-09,Low
651,441.8144406874905,0.4728901461574729,0.8017910667389275,1,0.4689079805448335,1,0.2469859230821041,26.03097606133764,79.97867162843662,"{""type"":""MultiPoint"",""coordinates"":[]}",0.0003210712877655336,Low
653,250.59928172283333,0.5079069767441861,0.8822325100658867,1,0.5310989840928,1,0.2970099667774087,25.964410898784383,80.37572698401745,"{""type"":""MultiPoint"",""coordinates"":[]}",0.01318301374634792,Low
654,1250.0,0.2977478276290122,0.5352614285189903,0,0.2141045714075961,0,0.0,26.011931777314302,80.0288874528189,"{""type"":""MultiPoint"",""coordinates"":[]}",4.711716912112302e-15,Low
656,1221.8428704215612,0.3725396636049147,0.5428504370451799,0,0.2793170293365702,1,0.1036280908641638,25.959919322363785,80.33763841597077,"{""type"":""MultiPoint"",""coordinates"":[]}",1.5791874045399266e-11,Low
657,1641.279988301813,0.3595744680851064,0.4401498710027562,0,0.2271237781883365,1,0.0851063829787234,26.039060898894714,79.91156747671289,"{""type"":""MultiPoint"",""coordinates"":[]}",6.800112238580525e-15,Low
659,646.297145282261,0.4582030719043088,0.7238662996503045,1,0.4251491529209579,1,0.2260043884347269,26.018848805002023,80.0010396790112,"{""type"":""MultiPoint"",""coordinates"":[]}",2.197964898960171e-05,Low
660,1154.1230437002807,0.3952455009997778,0.5615460353154194,0,0.3062574149831202,1,0.1360650014282541,25.935934304277797,80.40061031738756,"{""type"":""MultiPoint"",""coordinates"":[]}",6.578126506117037e-10,Low
662,2214.362210660216,0.3696612665684831,0.3304892636704644,0,0.1919053625268856,1,0.0995160950978329,26.043552475315312,80.09913570803705,"{""type"":""MultiPoint"",""coordinates"":[]}",1.5071986831267237e-17,Low
663,2813.201023745015,0.3551901543427822,0.2449746576691726,0,0.1452957096471966,1,0.078843077632546,26.005553738797055,80.33090105133988,"{""type"":""MultiPoint"",""coordinates"":[]}",4.066933451604742e-21,Low
664,450.0,0.4483602545276554,0.7985162187593771,1,0.4465724199560269,1,0.2119432207537935,26.017501332075845,80.16453306072094,"{""type"":""MultiPoint"",""coordinates"":[]}",8.44081800619664e-05,Low
667,3098.2091601439693,0.4236658932714617,0.2124381100053461,0,0.1909745810919628,1,0.1766655618163738,25.94716324532929,80.32847560007276,"{""type"":""MultiPoint"",""coordinates"":[]}",8.425147729905543e-19,Low
668,3376.818028854975,0.3526590198123044,0.1848133255485536,0,0.1190616329156824,1,0.0752271711604349,25.94931920201117,80.31715682749285,"{""type"":""MultiPoint"",""coordinates"":[]}",1.459618324737478e-23,Low
672,1863.0351580150063,0.4431045411505083,0.3939553980513456,0,0.2802431944924025,1,0.2044350587864404,25.994773955387625,80.27269022092894,"{""type"":""MultiPoint"",""coordinates"":[]}",6.84556989595828e-12,Low
673,1732.9743217947575,0.4900692840646651,0.4204258466005614,0,0.3310868678385089,1,0.2715275486638073,26.00339778211517,80.2498730127123,"{""type"":""MultiPoint"",""coordinates"":[]}",7.361668031030182e-09,Low
676,3410.131962256006,0.4151260504201681,0.181760393023953,0,0.1713836289982967,1,0.1644657863145258,26.00294862447311,80.34473510671532,"{""type"":""MultiPoint"",""coordinates"":[]}",1.7758759627981684e-20,Low
677,3101.1127035307827,0.4664307045680788,0.2121299221339826,0,0.2275068584833749,1,0.2377581493829697,26.01786065818949,80.32021109945886,"{""type"":""MultiPoint"",""coordinates"":[]}",1.2990403311965501e-16,Low
678,528.1098370604357,0.4943531520764864,0.7679313648367622,1,0.4737609620002647,1,0.2776473601092663,26.008069021592597,80.27062409577546,"{""type"":""MultiPoint"",""coordinates"":[]}",0.000419859991398806,Low
679,3116.0231064611826,0.3920787438481368,0.2105543312988365,0,0.1631463701036519,1,0.1315410626401955,25.96854314909133,80.41076128009811,"{""type"":""MultiPoint"",""coordinates"":[]}",1.6895670844361134e-20,Low
681,2498.039231077046,0.4050642201834862,0.2867858194437487,0,0.2047693736490591,1,0.1500917431192661,26.050379671474623,79.91120815059924,"{""type"":""MultiPoint"",""coordinates"":[]}",4.0497668317962156e-17,Low
684,2320.344801963708,0.3027574141058529,0.3134321402156894,0,0.1277363538912925,1,0.0039391630083612,26.001960477660575,80.04909954671159,"{""type"":""MultiPoint"",""coordinates"":[]}",1.5997842805781136e-21,Low
686,538.5164807134504,0.300468527194948,0.763945948498702,0,0.3059799741380077,1,0.0006693245642115059,25.949678528124824,80.39755604542155,"{""type"":""MultiPoint"",""coordinates"":[]}",6.164025455714039e-10,Low
688,1154.3396380615195,0.6388083922568679,0.5614852247558723,1,0.5150012832653785,1,0.4840119889383827,25.989384063682905,80.32928408382847,"{""type"":""MultiPoint"",""coordinates"":[]}",0.0032692251792348984,Low
689,3125.4119728445403,0.1961888263317453,0.2095682144980343,0,0.0838272857992137,0,0.0,25.96647702393786,80.2927226517648,"{""type"":""MultiPoint"",""coordinates"":[]}",1.640528035367142e-26,Low
691,542.3098745182499,0.2802373345504336,0.7624983478483921,0,0.3049993391393568,0,0.0,26.03528797470141,79.94381699541277,"{""type"":""MultiPoint"",""coordinates"":[]}",6.039015012294262e-10,Low
693,3408.2546853191598,0.5420935412026726,0.1819310804152249,0,0.2802811817683808,1,0.345847916003818,26.011482619672247,80.33054172522624,"{""type"":""MultiPoint"",""coordinates"":[]}",6.134342012347589e-14,Low
694,991.8165152889924,0.3623745462310485,0.6090175112110502,0,0.2970709012538902,1,0.0891064946157835,26.03501848011618,79.98783444433464,"{""type"":""MultiPoint"",""coordinates"":[]}",2.0689036217846749e-10,Low
702,2027.6587484091103,0.3540807399075115,0.3628269158738639,0,0.1914856862702697,1,0.0772581998678736,25.952553137034005,80.41237824760952,"{""type"":""MultiPoint"",""coordinates"":[]}",2.2553060092243818e-17,Low
704,1579.5252451290546,0.3435177539223782,0.4539525405836083,0,0.2188819481669103,1,0.0621682198891117,25.95452943065907,80.40635953520592,"{""type"":""MultiPoint"",""coordinates"":[]}",2.4101626113277906e-15,Low
707,1030.92191750879,0.3270968764864436,0.5972252349579908,0,0.2621159881144337,1,0.0387098235520622,26.02477768587721,80.26460538337186,"{""type"":""MultiPoint"",""coordinates"":[]}",1.6659543783085856e-12,Low
710,798.1227975693967,0.4753337202553685,0.670949504604567,1,0.4186658477749998,1,0.250476743221955,26.013728407882542,80.12330038917986,"{""type"":""MultiPoint"",""coordinates"":[]}",1.3753237075916478e-05,Low
711,302.65491900843114,0.4694192025102133,0.859566179453687,1,0.4890429310759433,1,0.2420274321574476,26.024148865178333,80.08027108707054,"{""type"":""MultiPoint"",""coordinates"":[]}",0.0010836634307799073,Low
712,1477.3286702694156,0.543527064105762,0.4777516055900446,1,0.3998381257552424,1,0.3478958058653743,25.958661680966017,80.39881368681932,"{""type"":""MultiPoint"",""coordinates"":[]}",2.336654609629007e-06,Low
713,2221.9135896789508,0.4246450188435037,0.3292437915622548,0,0.238536104205048,1,0.1780643126335768,26.00582323338229,80.20387927016539,"{""type"":""MultiPoint"",""coordinates"":[]}",9.293577530750575e-15,Low
714,1970.0,0.2681860755541679,0.3734392269366609,0,0.1493756907746643,0,0.0,26.04076769793454,80.03463667063727,"{""type"":""MultiPoint"",""coordinates"":[]}",6.371920622697528e-20,Low
715,3195.3247096343744,0.5111162308489805,0.202369032487812,0,0.261904382294251,1,0.3015946154985436,26.021543750854384,80.31545002845303,"{""type"":""MultiPoint"",""coordinates"":[]}",1.0722675888570655e-14,Low
720,862.670273047588,0.4499514091350826,0.6496411558092952,1,0.3883862415823603,1,0.2142162987644037,25.98022124778489,80.30862283229372,"{""type"":""MultiPoint"",""coordinates"":[]}",2.098774910068676e-06,Low
721,1730.7223925286223,0.4286165708146368,0.420899497841893,0,0.2786025741207317,1,0.183737958306624,26.007260537836885,80.05350129160378,"{""type"":""MultiPoint"",""coordinates"":[]}",7.08581332904913e-12,Low
